Timestamp,Provider,Counter Name,Counter Type,Mean/Increment
31.1.2025 11.30.21,System.Runtime,Gen 0 GC Count (Count / 1 sec),Rate,0
31.1.2025 11.30.21,System.Runtime,Gen 1 GC Count (Count / 1 sec),Rate,0
31.1.2025 11.30.21,System.Runtime,Gen 2 GC Count (Count / 1 sec),Rate,0
31.1.2025 11.30.21,System.Runtime,ThreadPool Thread Count,Metric,2
31.1.2025 11.30.21,System.Runtime,Monitor Lock Contention Count (Count / 1 sec),Rate,0
31.1.2025 11.30.21,System.Runtime,ThreadPool Queue Length,Metric,0
31.1.2025 11.30.21,System.Runtime,ThreadPool Completed Work Item Count (Count / 1 sec),Rate,9
31.1.2025 11.30.21,System.Runtime,Allocation Rate (B / 1 sec),Rate,1355888
31.1.2025 11.30.21,System.Runtime,Number of Active Timers,Metric,0
31.1.2025 11.30.21,System.Runtime,GC Fragmentation (%),Metric,0.07215750953509947
31.1.2025 11.30.21,System.Runtime,Exception Count (Count / 1 sec),Rate,0
31.1.2025 11.30.21,System.Runtime,% Time in GC since last GC (%),Metric,0
31.1.2025 11.30.21,System.Runtime,Gen 0 Size (B),Metric,24
31.1.2025 11.30.21,System.Runtime,Gen 1 Size (B),Metric,193408
31.1.2025 11.30.21,System.Runtime,Gen 2 Size (B),Metric,215872
31.1.2025 11.30.21,System.Runtime,LOH Size (B),Metric,24
31.1.2025 11.30.21,System.Runtime,POH (Pinned Object Heap) Size (B),Metric,56320
31.1.2025 11.30.21,System.Runtime,Number of Assemblies Loaded,Metric,164
31.1.2025 11.30.21,System.Runtime,IL Bytes Jitted (B),Metric,84101
31.1.2025 11.30.21,System.Runtime,Number of Methods Jitted,Metric,1132
31.1.2025 11.30.22,System.Runtime,CPU Usage (%),Metric,0
31.1.2025 11.30.22,System.Runtime,Working Set (MB),Metric,40
31.1.2025 11.30.22,System.Runtime,GC Heap Size (MB),Metric,3
31.1.2025 11.30.22,System.Runtime,Gen 0 GC Count (Count / 1 sec),Rate,0
31.1.2025 11.30.22,System.Runtime,Gen 1 GC Count (Count / 1 sec),Rate,0
31.1.2025 11.30.22,System.Runtime,Gen 2 GC Count (Count / 1 sec),Rate,0
31.1.2025 11.30.22,System.Runtime,ThreadPool Thread Count,Metric,2
31.1.2025 11.30.22,System.Runtime,Monitor Lock Contention Count (Count / 1 sec),Rate,0
31.1.2025 11.30.22,System.Runtime,ThreadPool Queue Length,Metric,0
31.1.2025 11.30.22,System.Runtime,ThreadPool Completed Work Item Count (Count / 1 sec),Rate,9
31.1.2025 11.30.22,System.Runtime,Allocation Rate (B / 1 sec),Rate,1363976
31.1.2025 11.30.22,System.Runtime,Number of Active Timers,Metric,0
31.1.2025 11.30.22,System.Runtime,GC Fragmentation (%),Metric,0.07215750953509947
31.1.2025 11.30.22,System.Runtime,Exception Count (Count / 1 sec),Rate,0
31.1.2025 11.30.22,System.Runtime,% Time in GC since last GC (%),Metric,0
31.1.2025 11.30.22,System.Runtime,Gen 0 Size (B),Metric,24
31.1.2025 11.30.22,System.Runtime,Gen 1 Size (B),Metric,193408
31.1.2025 11.30.22,System.Runtime,Gen 2 Size (B),Metric,215872
31.1.2025 11.30.22,System.Runtime,LOH Size (B),Metric,24
31.1.2025 11.30.22,System.Runtime,POH (Pinned Object Heap) Size (B),Metric,56320
31.1.2025 11.30.22,System.Runtime,Number of Assemblies Loaded,Metric,173
31.1.2025 11.30.22,System.Runtime,IL Bytes Jitted (B),Metric,88547
31.1.2025 11.30.22,System.Runtime,Number of Methods Jitted,Metric,1195
31.1.2025 11.30.23,System.Runtime,CPU Usage (%),Metric,0
31.1.2025 11.30.23,System.Runtime,Working Set (MB),Metric,41
31.1.2025 11.30.23,System.Runtime,GC Heap Size (MB),Metric,0
31.1.2025 11.30.23,System.Runtime,Gen 0 GC Count (Count / 1 sec),Rate,1
31.1.2025 11.30.23,System.Runtime,Gen 1 GC Count (Count / 1 sec),Rate,1
31.1.2025 11.30.23,System.Runtime,Gen 2 GC Count (Count / 1 sec),Rate,0
31.1.2025 11.30.23,System.Runtime,ThreadPool Thread Count,Metric,2
31.1.2025 11.30.23,System.Runtime,Monitor Lock Contention Count (Count / 1 sec),Rate,0
31.1.2025 11.30.23,System.Runtime,ThreadPool Queue Length,Metric,0
31.1.2025 11.30.23,System.Runtime,ThreadPool Completed Work Item Count (Count / 1 sec),Rate,9
31.1.2025 11.30.23,System.Runtime,Allocation Rate (B / 1 sec),Rate,1291552
31.1.2025 11.30.23,System.Runtime,Number of Active Timers,Metric,0
31.1.2025 11.30.23,System.Runtime,GC Fragmentation (%),Metric,0
31.1.2025 11.30.23,System.Runtime,Exception Count (Count / 1 sec),Rate,0
31.1.2025 11.30.23,System.Runtime,% Time in GC since last GC (%),Metric,0
